MoMo更新,#genre#
2026-01-16 11:00:03,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8

上海电信,#genre#
CCTV14HD,http://116.235.57.81:4022/rtp/233.18.204.80:5140
CCTV15HD,http://116.235.57.81:4022/rtp/233.18.204.81:5140
CCTV16HD,http://116.235.57.81:4022/rtp/233.18.204.82:5140
CCTV17HD,http://116.235.57.81:4022/rtp/233.18.204.83:5140
CETV1HD,http://116.235.57.81:4022/rtp/233.18.204.98:5140
CETV4HD,http://116.235.57.81:4022/rtp/233.18.204.111:5140
CETV早期教育HD,http://116.235.57.81:4022/rtp/233.18.204.187:5140
四川卫视4KHD,http://116.235.57.81:4022/rtp/233.18.204.99:5140
重庆卫视HD,http://116.235.57.81:4022/rtp/233.18.204.100:5140
江苏卫视HD,http://116.235.57.81:4022/rtp/233.18.204.85:5140
浙江卫视HD,http://116.235.57.81:4022/rtp/233.18.204.84:5140
东方卫视HD,http://116.235.57.81:4022/rtp/233.18.204.51:5140
深圳卫视HD,http://116.235.57.81:4022/rtp/233.18.204.89:5140
北京卫视HD,http://116.235.57.81:4022/rtp/233.18.204.87:5140
山东卫视HD,http://116.235.57.81:4022/rtp/233.18.204.91:5140
天津卫视HD,http://116.235.57.81:4022/rtp/233.18.204.97:5140
贵州卫视HD,http://116.235.57.81:4022/rtp/233.18.204.101:5140
云南卫视HD,http://116.235.57.81:4022/rtp/233.18.204.106:5140
广西卫视HD,http://116.235.57.81:4022/rtp/233.18.204.107:5140
黑龙江卫视HD,http://116.235.57.81:4022/rtp/233.18.204.90:5140
安徽卫视HD,http://116.235.57.81:4022/rtp/233.18.204.93:5140
山西卫视HD,http://116.235.57.81:4022/rtp/233.18.204.211:5140
江西卫视HD,http://116.235.57.81:4022/rtp/233.18.204.95:5140
湖北卫视HD,http://116.235.57.81:4022/rtp/233.18.204.92:5140
陕西卫视HD,http://116.235.57.81:4022/rtp/233.18.204.223:5140
东南卫视HD,http://116.235.57.81:4022/rtp/233.18.204.94:5140
吉林卫视HD,http://116.235.57.81:4022/rtp/233.18.204.108:5140
辽宁卫视HD,http://116.235.57.81:4022/rtp/233.18.204.96:5140
内蒙古卫视HD,http://116.235.57.81:4022/rtp/233.18.204.217:5140
湖南卫视HD,http://116.235.57.81:4022/rtp/233.18.204.86:5140
广东卫视HD,http://116.235.57.81:4022/rtp/233.18.204.88:5140
河南卫视HD,http://116.235.57.81:4022/rtp/233.18.204.105:5140
河北卫视HD,http://116.235.57.81:4022/rtp/233.18.204.103:5140
宁夏卫视HD,http://116.235.57.81:4022/rtp/233.18.204.230:5140
甘肃卫视HD,http://116.235.57.81:4022/rtp/233.18.204.110:5140
青海卫视HD,http://116.235.57.81:4022/rtp/233.18.204.112:5140
新疆卫视HD,http://116.235.57.81:4022/rtp/233.18.204.220:5140
西藏卫视HD,http://116.235.57.81:4022/rtp/233.18.204.222:5140
兵团卫视HD,http://116.235.57.81:4022/rtp/233.18.204.221:5140
三沙卫视HD,http://116.235.57.81:4022/rtp/233.18.204.172:5140
第一财经HD,http://116.235.57.81:4022/rtp/233.18.204.65:5140
第一财经HD,http://116.235.57.81:4022/rtp/233.18.204.59:5140
CCTV1SD,http://116.235.57.81:4022/rtp/233.18.204.20:5140
CCTV2SD,http://116.235.57.81:4022/rtp/233.18.204.21:5140
CCTV3SD,http://116.235.57.81:4022/rtp/233.18.204.22:5140
CCTV4SD,http://116.235.57.81:4022/rtp/233.18.204.23:5140
CCTV5SD,http://116.235.57.81:4022/rtp/233.18.204.24:5140
CCTV6SD,http://116.235.57.81:4022/rtp/233.18.204.25:5140
CCTV7SD,http://116.235.57.81:4022/rtp/233.18.204.26:5140
CCTV8SD,http://116.235.57.81:4022/rtp/233.18.204.27:5140
CCTV9SD,http://116.235.57.81:4022/rtp/233.18.204.40:5140
CCTV10SD,http://116.235.57.81:4022/rtp/233.18.204.29:5140
CCTV11SD,http://116.235.57.81:4022/rtp/233.18.204.30:5140
CCTV12SD,http://116.235.57.81:4022/rtp/233.18.204.31:5140
CCTV13SD,http://116.235.57.81:4022/rtp/233.18.204.32:5140
CCTV14SD,http://116.235.57.81:4022/rtp/233.18.204.33:5140
CCTV15SD,http://116.235.57.81:4022/rtp/233.18.204.34:5140
CCTV17SD,http://116.235.57.81:4022/rtp/233.18.204.35:5140
CETV1SD,http://116.235.57.81:4022/rtp/233.18.204.153:5140
CETV2SD,http://116.235.57.81:4022/rtp/233.18.204.154:5140
CGTNSD,http://116.235.57.81:4022/rtp/233.18.204.28:5140
重庆卫视SD,http://116.235.57.81:4022/rtp/233.18.204.143:5140
江苏卫视SD,http://116.235.57.81:4022/rtp/233.18.204.120:5140
东方卫视SD,http://116.235.57.81:4022/rtp/233.18.204.1:5140
深圳卫视SD,http://116.235.57.81:4022/rtp/233.18.204.146:5140
北京卫视SD,http://116.235.57.81:4022/rtp/233.18.204.210:5140
北京卫视SD,http://116.235.57.81:4022/rtp/233.18.204.118:5140
山东卫视SD,http://116.235.57.81:4022/rtp/233.18.204.125:5140
天津卫视SD,http://116.235.57.81:4022/rtp/233.18.204.129:5140
贵州卫视SD,http://116.235.57.81:4022/rtp/233.18.204.144:5140
四川卫视SD,http://116.235.57.81:4022/rtp/233.18.204.124:5140
云南卫视SD,http://116.235.57.81:4022/rtp/233.18.204.136:5140
广西卫视SD,http://116.235.57.81:4022/rtp/233.18.204.123:5140
黑龙江卫视SD,http://116.235.57.81:4022/rtp/233.18.204.139:5140
